,Line,English name,Russian name,Coordinates
0,1,Bulvar Rokossovskogo,Бульвар Рокоссовского,"55.8148,37.7342"
1,1,Cherkizovskaya,Черкизовская,"55.8038,37.7448"
2,1,Preobrazhenskaya Ploshchad,Преображенская площадь,"55.7963,37.7151"
3,1,Sokolniki,Сокольники,"55.7888,37.6802"
4,1,Krasnoselskaya,Красносельская,"55.7801,37.6673"
5,1,Komsomolskaya,Комсомольская,"55.7753,37.6562"
6,1,Krasnye Vorota,Красные ворота,"55.7690,37.6487"
7,1,Chistyye Prudy,Чистые пруды,"55.7657,37.6388"
8,1,Lubyanka,Лубянка,"55.7597,37.6272"
9,1,Okhotny Ryad,Охотный ряд,"55.7577,37.6166"
10,1,Biblioteka Imeni Lenina,Библиотека имени Ленина,"55.7512,37.6100"
11,1,Kropotkinskaya,Кропоткинская,"55.7453,37.6037"
12,1,Park Kultury,Парк культуры,"55.7356,37.5943"
13,1,Frunzenskaya,Фрунзенская,"55.7267,37.5786"
14,1,Sportivnaya,Спортивная,"55.7233,37.5639"
15,1,Vorobyovy Gory,Воробьёвы горы,"55.7103,37.5592"
16,1,Universitet,Университет,"55.6926,37.5333"
17,1,Prospekt Vernadskogo,Проспект Вернадского,"55.6771,37.5060"
18,1,Yugo-Zapadnaya,Юго-Западная,"55.6637,37.4833"
19,1,Troparyovo,Тропарёво,"55.6459,37.4725"
20,1,Rumyantsevo,Румянцево,"55.6330,37.4419"
21,1,Salaryevo,Саларьево,"55.6227,37.4240"
22,2,Khovrino,Ховрино,"55.8791,37.4822"
23,2,Belomorskaya,Беломорская,"55.8658,37.4764"
24,2,Rechnoy Vokzal,Речной вокзал,"55.8549,37.4761"
25,2,Vodny Stadion,Водный стадион,"55.8398,37.4867"
26,2,Voykovskaya,Войковская,"55.8190,37.4980"
27,2,Sokol,Сокол,"55.8051,37.5153"
28,2,Aeroport,Аэропорт,"55.8003,37.5329"
29,2,Dinamo,Динамо,"55.7897,37.5580"
30,2,Belorusskaya,Белорусская,"55.7767,37.5835"
31,2,Mayakovskaya,Маяковская,"55.7701,37.5958"
32,2,Tverskaya,Тверская,"55.7647,37.6065"
33,2,Teatralnaya,Театральная,"55.7578,37.6190"
34,2,Novokuznetskaya,Новокузнецкая,"55.7415,37.6295"
35,2,Paveletskaya,Павелецкая,"55.7305,37.6377"
36,2,Avtozavodskaya,Автозаводская,"55.7074,37.6576"
37,2,Tekhnopark,Технопарк,"55.6950,37.6641"
38,2,Kolomenskaya,Коломенская,"55.6785,37.6638"
39,2,Kashirskaya,Каширская,"55.6551,37.6487"
40,2,Kantemirovskaya,Кантемировская,"55.6358,37.6564"
41,2,Tsaritsyno,Царицыно,"55.6214,37.6694"
42,2,Orekhovo,Орехово,"55.6132,37.6949"
43,2,Domodedovskaya,Домодедовская,"55.6108,37.7186"
44,2,Krasnogvardeyskaya,Красногвардейская,"55.6137,37.7444"
45,2,Alma-Atinskaya,Алма-Атинская,"55.6326,37.7660"
46,3,Pyatnitskoye Shosse,Пятницкое шоссе,"55.8563,37.3544"
47,3,Mitino,Митино,"55.8457,37.3622"
48,3,Volokolamskaya,Волоколамская,"55.8354,37.3822"
49,3,Myakinino,Мякинино,"55.8252,37.3852"
50,3,Strogino,Строгино,"55.8038,37.4031"
51,3,Krylatskoye,Крылатское,"55.7567,37.4081"
52,3,Molodyozhnaya,Молодёжная,"55.7408,37.4168"
53,3,Kuntsevskaya,Кунцевская,"55.7307,37.4459"
54,3,Slavyansky Bulvar,Славянский бульвар,"55.7296,37.4706"
55,3,Park Pobedy,Парк Победы,"55.7362,37.5182"
56,3,Kiyevskaya,Киевская,"55.7442,37.5645"
57,3,Smolenskaya,Смоленская,"55.7474,37.5823"
58,3,Arbatskaya,Арбатская,"55.7522,37.6061"
59,3,Ploshchad Revolyutsii,Площадь Революции,"55.7566,37.6216"
60,3,Kurskaya,Курская,"55.7576,37.6577"
61,3,Baumanskaya,Бауманская,"55.7730,37.6806"
62,3,Elektrozavodskaya,Электрозаводская,"55.7817,37.7037"
63,3,Semyonovskaya,Семёновская,"55.7833,37.7208"
64,3,Partizanskaya,Партизанская,"55.7886,37.7506"
65,3,Izmaylovskaya,Измайловская,"55.7878,37.7814"
66,3,Pervomayskaya,Первомайская,"55.7948,37.7993"
67,3,Shchyolkovskaya,Щёлковская,"55.8094,37.7986"
68,4,Kuntsevskaya,Кунцевская,"55.7307,37.4459"
69,4,Pionerskaya,Пионерская,"55.7360,37.4671"
70,4,Filyovsky Park,Филёвский парк,"55.7396,37.4833"
71,4,Bagrationovskaya,Багратионовская,"55.7438,37.4977"
72,4,Fili,Фили,"55.7460,37.5150"
73,4,Kutuzovskaya,Кутузовская,"55.7399,37.5344"
74,4,Studencheskaya,Студенческая,"55.7388,37.5483"
75,4,Mezhdunarodnaya,Международная,"55.7483,37.5339"
76,4,Vystavochnaya,Выставочная,"55.7502,37.5408"
77,4,Kiyevskaya,Киевская,"55.7436,37.5655"
78,4,Smolenskaya,Смоленская,"55.7488,37.5825"
79,4,Arbatskaya,Арбатская,"55.7518,37.6007"
80,4,Aleksandrovsky Sad,Александровский сад,"55.7525,37.6085"
81,5,Kiyevskaya,Киевская,"55.7446,37.5644"
82,5,Krasnopresnenskaya,Краснопресненская,"55.7613,37.5774"
83,5,Belorusskaya,Белорусская,"55.7764,37.5844"
84,5,Novoslobodskaya,Новослободская,"55.7799,37.6028"
85,5,Prospekt Mira,Проспект Мира,"55.7798,37.6318"
86,5,Komsomolskaya,Комсомольская,"55.7748,37.6549"
87,5,Kurskaya,Курская,"55.7570,37.6595"
88,5,Taganskaya,Таганская,"55.7418,37.6517"
89,5,Paveletskaya,Павелецкая,"55.7318,37.6379"
90,5,Dobryninskaya,Добрынинская,"55.7291,37.6243"
91,5,Oktyabrskaya,Октябрьская,"55.7297,37.6091"
92,5,Park Kultury,Парк культуры,"55.7357,37.5915"
93,6,Medvedkovo,Медведково,"55.8872,37.6613"
94,6,Babushkinskaya,Бабушкинская,"55.8694,37.6644"
95,6,Sviblovo,Свиблово,"55.8552,37.6527"
96,6,Botanichesky Sad,Ботанический сад,"55.8449,37.6383"
97,6,VDNKh,ВДНХ,"55.8211,37.6411"
98,6,Alekseyevskaya,Алексеевская,"55.8088,37.6390"
99,6,Rizhskaya,Рижская,"55.7936,37.6362"
100,6,Prospekt Mira,Проспект Мира,"55.7812,37.6318"
101,6,Sukharevskaya,Сухаревская,"55.7733,37.6319"
102,6,Turgenevskaya,Тургеневская,"55.7661,37.6374"
103,6,Kitay-gorod,Китай-город,"55.7553,37.6333"
104,6,Tretyakovskaya,Третьяковская,"55.7412,37.6274"
105,6,Oktyabrskaya,Октябрьская,"55.7306,37.6112"
106,6,Shabolovskaya,Шаболовская,"55.7198,37.6083"
107,6,Leninsky Prospekt,Ленинский проспект,"55.7077,37.5861"
108,6,Akademicheskaya,Академическая,"55.6877,37.5733"
109,6,Profsoyuznaya,Профсоюзная,"55.6780,37.5627"
110,6,Novye Cheryomushki,Новые Черёмушки,"55.6702,37.5544"
111,6,Kaluzhskaya,Калужская,"55.6571,37.5405"
112,6,Belyayevo,Беляево,"55.6428,37.5257"
113,6,Konkovo,Коньково,"55.6333,37.5188"
114,6,Tyoply Stan,Тёплый Стан,"55.6191,37.5082"
115,6,Yasenevo,Ясенево,"55.6063,37.5333"
116,6,Novoyasenevskaya,Новоясеневская,"55.6010,37.5541"
117,7,Planernaya,Планерная,"55.8607,37.4364"
118,7,Skhodnenskaya,Сходненская,"55.8505,37.4396"
119,7,Tushinskaya,Тушинская,"55.8267,37.4368"
120,7,Spartak,Спартак,"55.8182,37.4352"
121,7,Shchukinskaya,Щукинская,"55.8086,37.4641"
122,7,Oktyabrskoye Polye,Октябрьское поле,"55.7935,37.4935"
123,7,Polezhayevskaya,Полежаевская,"55.7775,37.5192"
124,7,Begovaya,Беговая,"55.7738,37.5468"
125,7,Ulitsa 1905 Goda,Улица 1905 года,"55.7650,37.5613"
126,7,Barrikadnaya,Баррикадная,"55.7612,37.5795"
127,7,Pushkinskaya,Пушкинская,"55.7650,37.6079"
128,7,Kuznetsky Most,Кузнецкий мост,"55.7606,37.6259"
129,7,Kitay-gorod,Китай-город,"55.7553,37.6333"
130,7,Taganskaya,Таганская,"55.7402,37.6522"
131,7,Proletarskaya,Пролетарская,"55.7319,37.6659"
132,7,Volgogradsky Prospekt,Волгоградский проспект,"55.7253,37.6869"
133,7,Tekstilshchiki,Текстильщики,"55.7088,37.7316"
134,7,Kuzminki,Кузьминки,"55.7056,37.7656"
135,7,Ryazansky Prospekt,Рязанский проспект,"55.7170,37.7933"
136,7,Vykhino,Выхино,"55.7156,37.8181"
137,7,Lermontovsky Prospekt,Лермонтовский проспект,"55.7013,37.8525"
138,7,Zhulebino,Жулебино,"55.6855,37.8563"
139,7,Kotelniki,Котельники,"55.6743,37.8582"
140,8A,Rasskazovka,Рассказовка,"55.6339,37.3347"
141,8A,Novoperedelkino,Новопеределкино,"55.6396,37.3552"
142,8A,Borovskoye Shosse,Боровское Шоссе,"55.6476,37.3701"
143,8A,Solntsevo,Солнцево,"55.6493,37.3909"
144,8A,Govorovo,Говорово,"55.6595,37.4172"
145,8A,Ozyornaya,Озёрная,"55.6709,37.4491"
146,8A,Michurinsky Prospekt,Мичуринский Проспект,"55.6896,37.4833"
147,8A,Ramenki,Раменки,"55.6975,37.4984"
148,8A,Lomonosovsky Prospekt,Ломоносовский проспект,"55.7069,37.5156"
149,8A,Minskaya,Минская,"55.7246,37.4970"
150,8A,Park Pobedy,Парк Победы,"55.7362,37.5182"
151,8,Tretyakovskaya,Третьяковская,"55.7412,37.6274"
152,8,Marksistskaya,Марксистская,"55.7411,37.6543"
153,8,Ploshchad Ilyicha,Площадь Ильича,"55.7472,37.6824"
154,8,Aviamotornaya,Авиамоторная,"55.7524,37.7191"
155,8,Shosse Entuziastov,Шоссе Энтузиастов,"55.7576,37.7500"
156,8,Perovo,Перово,"55.7511,37.7866"
157,8,Novogireyevo,Новогиреево,"55.7517,37.8166"
158,8,Novokosino,Новокосино,"55.7451,37.8638"
159,9,Altufyevo,Алтуфьево,"55.8980,37.5870"
160,9,Bibirevo,Бибирево,"55.8838,37.6034"
161,9,Otradnoye,Отрадное,"55.8633,37.6047"
162,9,Vladykino,Владыкино,"55.8473,37.5899"
163,9,Petrovsko-Razumovskaya,Петровско-Разумовская,"55.8351,37.5745"
164,9,Timiryazevskaya,Тимирязевская,"55.8176,37.5765"
165,9,Dmitrovskaya,Дмитровская,"55.8069,37.5817"
166,9,Savyolovskaya,Савёловская,"55.7927,37.5885"
167,9,Mendeleyevskaya,Менделеевская,"55.7810,37.6011"
168,9,Tsvetnoy Bulvar,Цветной бульвар,"55.7708,37.6187"
169,9,Chekhovskaya,Чеховская,"55.7644,37.6097"
170,9,Borovitskaya,Боровицкая,"55.7511,37.6072"
171,9,Polyanka,Полянка,"55.7379,37.6180"
172,9,Serpukhovskaya,Серпуховская,"55.7280,37.6246"
173,9,Tulskaya,Тульская,"55.7087,37.6229"
174,9,Nagatinskaya,Нагатинская,"55.6830,37.6224"
175,9,Nagornaya,Нагорная,"55.6724,37.6104"
176,9,Nakhimovsky Prospekt,Нахимовский проспект,"55.6627,37.6055"
177,9,Sevastopolskaya,Севастопольская,"55.6524,37.5984"
178,9,Chertanovskaya,Чертановская,"55.6405,37.6067"
179,9,Yuzhnaya,Южная,"55.6224,37.6090"
180,9,Prazhskaya,Пражская,"55.6124,37.6044"
181,9,Ulitsa Akademika Yangelya,Улица академика Янгеля,"55.5949,37.6004"
182,9,Annino,Аннино,"55.5828,37.5966"
183,9,Bulvar Dmitriya Donskogo,Бульвар Дмитрия Донского,"55.5693,37.5769"
184,10,Seligerskaya,Селигерская,"55.865000,37.548333"
185,10,Verkhnie Likhobory,Верхние Лихоборы,"55.855833,37.561111"
186,10,Okruzhnaya,Окружная,"55.846000,37.574250"
187,10,Petrovsko-Razumovskaya,Петровско-Разумовская,"55.8351,37.5745"
188,10,Fonvizinskaya,Фонвизинская,"55.8228,37.5881"
189,10,Butyrskaya,Бутырская,"55.8133,37.6028"
190,10,Maryina Roshcha,Марьина Роща,"55.7954,37.6162"
191,10,Dostoyevskaya,Достоевская,"55.7816,37.6151"
192,10,Trubnaya,Трубная,"55.7688,37.6200"
193,10,Sretensky Bulvar,Сретенский бульвар,"55.7668,37.6392"
194,10,Chkalovskaya,Чкаловская,"55.7565,37.6573"
195,10,Rimskaya,Римская,"55.7463,37.6819"
196,10,Krestyanskaya Zastava,Крестьянская застава,"55.7331,37.6673"
