,Line,English name,Russian name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,1,Bulvar Rokossovskogo,Бульвар Рокоссовского,"55.8148,37.7342",5,8,0,11,6,9,46,6,55,9
1,1,Cherkizovskaya,Черкизовская,"55.8038,37.7448",5,25,0,12,4,19,38,7,36,10
2,1,Preobrazhenskaya Ploshchad,Преображенская площадь,"55.7963,37.7151",13,26,0,31,5,31,110,21,81,14
3,1,Sokolniki,Сокольники,"55.7888,37.6802",16,20,0,56,13,43,90,27,81,18
4,1,Krasnoselskaya,Красносельская,"55.7801,37.6673",31,25,0,107,28,25,134,23,91,70
5,1,Komsomolskaya,Комсомольская,"55.7753,37.6562",29,33,0,90,19,37,150,24,80,87
6,1,Krasnye Vorota,Красные ворота,"55.7690,37.6487",52,48,0,109,38,55,176,25,115,75
7,1,Chistyye Prudy,Чистые пруды,"55.7657,37.6388",67,54,0,196,124,60,179,33,138,73
8,1,Lubyanka,Лубянка,"55.7597,37.6272",106,65,4,244,151,90,187,20,200,95
9,1,Okhotny Ryad,Охотный ряд,"55.7577,37.6166",120,83,2,155,86,90,190,19,199,79
10,1,Biblioteka Imeni Lenina,Библиотека имени Ленина,"55.7512,37.6100",110,71,2,130,43,66,163,31,144,65
11,1,Kropotkinskaya,Кропоткинская,"55.7453,37.6037",89,52,2,137,48,68,169,40,97,51
12,1,Park Kultury,Парк культуры,"55.7356,37.5943",50,61,2,93,22,58,127,43,89,45
13,1,Frunzenskaya,Фрунзенская,"55.7267,37.5786",25,71,3,71,13,41,117,49,108,24
14,1,Sportivnaya,Спортивная,"55.7233,37.5639",15,47,1,52,9,48,107,30,76,17
15,1,Vorobyovy Gory,Воробьёвы горы,"55.7103,37.5592",4,16,0,32,7,52,50,7,14,16
16,1,Universitet,Университет,"55.6926,37.5333",12,80,1,44,4,31,69,24,106,13
17,1,Prospekt Vernadskogo,Проспект Вернадского,"55.6771,37.5060",4,10,0,34,5,22,77,37,57,12
18,1,Yugo-Zapadnaya,Юго-Западная,"55.6637,37.4833",14,79,0,60,6,34,77,42,79,18
19,1,Troparyovo,Тропарёво,"55.6459,37.4725",4,15,0,18,5,24,56,23,39,12
20,1,Rumyantsevo,Румянцево,"55.6330,37.4419",2,4,0,37,4,3,43,1,29,8
21,1,Salaryevo,Саларьево,"55.6227,37.4240",1,1,0,4,2,5,5,0,7,5
22,2,Khovrino,Ховрино,"55.8791,37.4822",5,8,0,4,3,15,18,5,17,10
23,2,Belomorskaya,Беломорская,"55.8658,37.4764",2,32,0,20,7,25,55,32,55,17
